Carrie Baker,10.02135,12.54368,0,36520
Carlos Nichols,23.65161,22.31993,1,92457
Veronica Gamble,20.38669,41.31772,2,21911
Vincent Smith PhD,17.63405,2.30149,3,96487
Tony Phillips,52.45139,29.89583,0,48308
Tyler Wheeler,41.32055,0.1583,1,10838
Maurice Rodgers,36.86321,20.0587,2,59370
Mark Velez,23.15458,45.60599,3,63166
Gary Branch,5.88786,26.24438,0,52471
William Orozco,56.66487,6.26622,1,82818
Kenneth Collins,11.79644,43.69339,2,95989
Kayla Wong,26.32335,19.35876,3,38200
Valerie Williams,15.0229,10.65827,0,58169
Brittany Ross,62.73428,30.44983,1,31887
David Miller,18.36009,26.52637,2,51343
David Dean,13.95985,48.73148,3,72744
Kelly Johns,6.45343,37.0185,0,37553
Christian Miller,41.81019,2.57265,1,32961
Wendy Strong,18.05837,11.79776,2,90937
Shane Powell,42.69861,39.88057,3,46671
Mrs. Rebecca Willis DVM,20.62197,31.38074,0,86664
Jennifer Leonard,42.73876,36.30482,1,18289
Joshua Holmes,38.59661,39.47192,2,18841
Charles Webb,8.33512,17.4989,3,76303
Nicholas Taylor,38.56272,47.91955,0,89172
Brian Davis,14.43958,49.56566,1,10345
Arthur Miller,46.66247,18.73395,2,78967
Kristin Nguyen,2.06593,1.42864,3,11123
Daniel Morgan,56.04923,8.61188,0,88124
Steven Mcguire MD,48.38037,43.7918,1,66667
Luis Duncan,62.03963,13.63255,2,50888
James Gomez,53.41076,47.23224,3,21735
Jeremy Martinez,27.20436,35.76082,0,50367
Cameron Hill,50.30874,12.61982,1,82528
Deborah Willis,63.84971,23.83348,2,43557
Benjamin Hutchinson,4.06012,15.36342,3,97237
Mary Park,5.45224,2.03184,0,43432
Amy Tanner,1.86019,33.36233,1,19651
Linda Lopez,64.27779,49.04112,2,94637
Luis Becker,7.52527,28.46835,3,33993
Michael Robinson,32.23892,33.99256,0,61518
April Jenkins,28.51778,43.9388,1,15079
Katherine Morales,11.47268,42.72579,2,63982
Samantha Bryan,68.27893,43.76654,3,96132
Laura Cantrell,33.00273,8.04905,0,12108
Bridget Blevins,69.27019,39.79527,1,89879
Michele Arnold,47.19405,24.71662,2,92497
Kenneth Torres,46.81651,48.71414,3,96038
Robert Hernandez,26.92798,42.31403,0,30736
Brian Woodard,15.95061,31.49709,1,73470
Jennifer Long,39.74293,44.29198,2,23981
Jessica Cross,49.55314,41.1637,3,13748
Laurie Liu,0.69594,20.30717,0,79974
Randy Gay,42.13368,6.66078,1,13453
Jimmy Kent,35.03529,26.70517,2,33157
Pamela Russell,24.65209,5.80938,3,58050
Jason Conner,15.0282,9.07898,0,85415
Joshua Davis,9.3057,39.90983,1,83112
Charles Woods,41.73811,6.76895,2,60436
James Smith,6.6111,1.05073,3,82925
