badge,name,shift,day,month,year,group,lat,lon,area,time_to_travel,distance
88933,Nathaniel Obrien,1,16,12,2024,1,33.95714,-118.17239667,8,14.9,9.93614
89143,Annette Cardenas,1,16,12,2024,1,33.85154,-118.59981333,2,6.3,4.1808
17388,Jaime Kirby,1,16,12,2024,1,33.93602,-118.41175,6,1.3,0.87153
45086,Stephen Singh,1,16,12,2024,1,33.99938,-118.27497667,7,4.2,2.7855
91364,Dawn Rowe,1,16,12,2024,1,33.97826,-118.30917,7,12.1,8.05243
75308,Daniel Kennedy,1,16,12,2024,1,34.04162,-118.48013667,9,1.0,0.6865
38678,Joseph Perry,1,16,12,2024,1,34.21058,-118.22368667,11,45.3,30.18025
71903,Tiffany Smith,1,16,12,2024,1,33.89378,-118.49723333,3,4.6,3.07764
45427,Elizabeth Burnett,1,16,12,2024,1,33.78818,-118.53142667,1,4.0,2.6775
85754,Sheryl Kline,1,16,12,2024,1,34.21058,-118.22368667,11,37.3,24.85032
55555,Sara Jackson,1,16,12,2024,1,34.0205,-118.32626667,6,3.0,2.03328
44946,Sonya Burton,1,16,12,2024,1,33.9149,-118.46304,3,8.2,5.46478
85317,John Blackburn,1,16,12,2024,1,33.93602,-118.24078333,7,1.5,1.03061
90190,Cheryl Jackson DDS,1,16,12,2024,1,33.95714,-118.56562,5,5.8,3.89213
47576,Kathleen Johnson,1,16,12,2024,1,33.99938,-118.22368667,8,10.2,6.79744
25870,Allison Dunn,1,16,12,2024,1,33.89378,-118.39465333,3,0.8,0.51245
12872,Paul Jackson,1,16,12,2024,1,33.8093,-118.48013667,1,3.6,2.4117
59087,Melissa Aguirre,1,16,12,2024,1,33.93602,-118.36046,6,1.4,0.92237
92302,Marissa Johnson,1,16,12,2024,1,34.10498,-118.29207333,10,3.2,2.10297
58456,Pamela Taylor,1,16,12,2024,1,34.10498,-118.37755667,9,4.3,2.87292
18840,Michael Gilbert,1,16,12,2024,1,33.8093,-118.27497667,4,14.1,9.41881
70123,Thomas Finley,1,16,12,2024,1,33.83042,-118.49723333,3,5.6,3.72989
44430,Philip Eaton,1,16,12,2024,1,33.72482,-118.51433,1,2.6,1.71287
