badge,name,shift,day,month,year,group,lat,lon,area,time_to_travel,distance
93365,Mark Jacobs,1,16,12,2024,1,33.89378,-118.56562,2,0.4,0.27444
85628,Kyle Taylor,1,16,12,2024,1,33.99938,-118.27497667,7,0.7,0.48114
85700,Mark Clay,1,16,12,2024,1,34.18946,-118.29207333,11,39.5,26.31783
98176,Adam Mitchell,1,16,12,2024,1,34.14722,-118.25788,11,38.0,25.3163
66113,Donna Rodriguez,1,16,12,2024,1,34.10498,-118.41175,9,1.6,1.0856
26937,Lee Blake,1,16,12,2024,1,33.74594,-118.41175,1,15.0,9.97216
39770,Benjamin Jenkins,1,16,12,2024,1,33.97826,-118.24078333,7,14.9,9.91305
77531,Michael Murray,1,16,12,2024,1,33.78818,-118.44594333,1,2.7,1.83018
87396,Mark Williams,1,16,12,2024,1,34.10498,-118.44594333,9,6.1,4.03754
89323,John Taylor,1,16,12,2024,1,34.1261,-118.30917,10,1.7,1.12479
34657,Anthony Duran,1,16,12,2024,1,34.0205,-118.32626667,6,1.7,1.16254
53001,Tasha Porter,1,16,12,2024,1,33.7037,-118.46304,1,1.2,0.79197
59140,Rodney Baldwin,1,16,12,2024,1,34.21058,-118.22368667,11,35.8,23.83877
79878,Sherri Williams,1,16,12,2024,1,33.8093,-118.61691,2,2.8,1.85211
20977,Natalie Young,1,16,12,2024,1,34.10498,-118.24078333,10,14.2,9.47223
64176,Kimberly Kennedy,1,16,12,2024,1,33.76706,-118.61691,2,2.2,1.49006
49106,Samantha Hernandez,1,16,12,2024,1,33.8093,-118.32626667,4,11.6,7.72401
88295,Seth Coleman,1,16,12,2024,1,33.99938,-118.24078333,7,12.9,8.57671
38920,Shirley Martin,1,16,12,2024,1,34.14722,-118.29207333,11,15.0,9.99327
81077,Brooke Boyd,1,16,12,2024,1,33.99938,-118.34336333,6,0.9,0.57286
98848,Jacob Harrell,1,16,12,2024,1,33.93602,-118.51433,5,0.7,0.44669
66930,Bradley Byrd,1,16,12,2024,1,34.1261,-118.25788,10,9.3,6.18249
27753,Jesse Stewart,1,16,12,2024,1,33.95714,-118.56562,5,2.6,1.74476
74873,Gary Petty,1,16,12,2024,1,33.72482,-118.46304,1,1.1,0.71455
44891,Holly Sullivan,1,16,12,2024,1,33.93602,-118.18949333,8,29.1,19.41329
64644,Thomas Williams,1,16,12,2024,1,33.85154,-118.37755667,4,0.9,0.59147
73062,Mrs. Rebecca Morton,1,16,12,2024,1,33.97826,-118.49723333,5,2.2,1.47402
88456,Adam Martin,1,16,12,2024,1,34.04162,-118.34336333,10,2.8,1.8671
53064,Mark Skinner,1,16,12,2024,1,33.93602,-118.17239667,8,27.8,18.53366
20455,Vincent Tapia,1,16,12,2024,1,33.9149,-118.44594333,3,1.2,0.78136
52464,Richard Sanders,1,16,12,2024,1,33.93602,-118.34336333,6,2.3,1.55959
63289,Theresa Richardson,1,16,12,2024,1,34.06274,-118.27497667,10,6.8,4.53179
97868,Jose Castillo,1,16,12,2024,1,33.89378,-118.63400667,2,6.1,4.04945
42016,Terry Ayala,1,16,12,2024,1,34.06274,-118.37755667,9,1.5,1.02583
51924,Jonathan Johnson,1,16,12,2024,1,34.10498,-118.49723333,9,13.6,9.04477
11484,Stacy Harrison,1,16,12,2024,1,33.97826,-118.37755667,6,3.1,2.06866
30361,Beth Smith,1,16,12,2024,1,33.85154,-118.59981333,2,5.8,3.85129
29533,James Gutierrez,1,16,12,2024,1,33.9149,-118.37755667,4,1.8,1.20344
86173,John Smith,1,16,12,2024,1,33.78818,-118.34336333,4,6.3,4.17229
39977,Cassandra Newton,1,16,12,2024,1,34.29506,-118.29207333,11,63.1,42.04411
18523,Christina Castillo,1,16,12,2024,1,33.8093,-118.27497667,4,10.2,6.82109
82643,Christopher Huerta,1,16,12,2024,1,34.14722,-118.30917,11,5.2,3.45819
44163,Haley Jenkins,1,16,12,2024,1,34.25282,-118.25788,11,52.7,35.11597
38652,David Cervantes,1,16,12,2024,1,33.78818,-118.42884667,1,3.7,2.43421
10791,Nicole Day,1,16,12,2024,1,33.83042,-118.59981333,2,5.2,3.48685
30168,Natalie Carter,1,16,12,2024,1,34.10498,-118.27497667,10,2.0,1.32804
98566,Michael Wilson,1,16,12,2024,1,34.04162,-118.29207333,10,2.1,1.40838
51880,Robert Obrien,1,16,12,2024,1,34.0205,-118.32626667,6,2.4,1.58485
70593,Erica Grant,1,16,12,2024,1,33.76706,-118.41175,1,13.7,9.12139
44408,William Holt,1,16,12,2024,1,33.78818,-118.59981333,2,2.8,1.84241
81145,Donald Edwards,1,16,12,2024,1,34.2317,-118.27497667,11,43.7,29.12167
46185,Sydney Garcia,1,16,12,2024,1,33.83042,-118.34336333,4,9.1,6.07544
64104,Jacqueline Chapman,1,16,12,2024,1,33.93602,-118.46304,6,1.7,1.1336
21836,Andrea Aguilar,1,16,12,2024,1,33.85154,-118.54852333,2,6.1,4.03605
19220,Frances Stevens,1,16,12,2024,1,34.08386,-118.30917,10,4.1,2.74682
10521,Morgan Watson,1,16,12,2024,1,33.93602,-118.37755667,6,1.0,0.69239
35676,Benjamin Moon,1,16,12,2024,1,33.7037,-118.41175,1,14.4,9.57174
28077,Tyler Cooper,1,16,12,2024,1,33.95714,-118.58271667,5,2.0,1.33097
49442,William Smith,1,16,12,2024,1,33.87266,-118.29207333,4,4.0,2.67462
45191,Heather Wilson,1,16,12,2024,1,34.0205,-118.25788,7,1.0,0.68904
65198,Mark Morgan,1,16,12,2024,1,33.89378,-118.39465333,3,2.2,1.46682
53176,Michael Woodard,1,16,12,2024,1,33.95714,-118.51433,5,6.1,4.05155
26220,Kevin Green,1,16,12,2024,1,33.85154,-118.63400667,2,2.7,1.81533
47785,Diane Simmons,1,16,12,2024,1,33.87266,-118.32626667,4,0.7,0.49301
39705,Timothy Davis,1,16,12,2024,1,33.85154,-118.48013667,3,0.8,0.50687
75430,Mark Ramirez,1,16,12,2024,1,33.89378,-118.41175,3,8.6,5.71622
94968,Samuel Reynolds,1,16,12,2024,1,34.04162,-118.42884667,9,1.7,1.14929
50255,Angela Hill,1,16,12,2024,1,34.08386,-118.24078333,10,11.8,7.88039
20824,Bernard Payne,1,16,12,2024,1,33.93602,-118.49723333,5,6.5,4.33839
23042,John Pierce,1,16,12,2024,1,34.08386,-118.39465333,9,3.5,2.31396
29622,Mariah Jackson,1,16,12,2024,1,33.87266,-118.42884667,3,6.4,4.29168
38745,Denise Rios,1,16,12,2024,1,33.9149,-118.51433,3,4.2,2.8161
47720,Jordan Cuevas,1,16,12,2024,1,33.76706,-118.30917,4,5.0,3.30303
75934,Eric Gibson,1,16,12,2024,1,33.97826,-118.53142667,5,6.6,4.40857
73265,Michael Cox,1,16,12,2024,1,33.93602,-118.46304,6,0.5,0.34092
69292,Rachel Garcia,1,16,12,2024,1,34.0205,-118.32626667,6,2.5,1.63669
58018,Kathryn Fox,1,16,12,2024,1,33.89378,-118.30917,4,0.9,0.62947
51230,Jessica Griffith,1,16,12,2024,1,33.95714,-118.34336333,6,4.6,3.07763
49127,Laura Soto,1,16,12,2024,1,33.95714,-118.36046,6,0.9,0.62867
49770,Michael Owens,1,16,12,2024,1,33.74594,-118.56562,2,3.4,2.27579
20280,Brittany Lyons,1,16,12,2024,1,33.76706,-118.56562,2,1.1,0.70382
93403,Andre Davis,1,16,12,2024,1,34.06274,-118.36046,10,3.2,2.11214
55648,Gregory Moreno,1,16,12,2024,1,33.83042,-118.36046,4,1.9,1.24923
75254,Michele Nelson,1,16,12,2024,1,34.0205,-118.39465333,6,4.0,2.68402
25452,Jennifer White,1,16,12,2024,1,33.95714,-118.44594333,6,3.8,2.56586
